Internship_ID,Is_Shortlisted,Student_ID
9341,0.19293381604883406,7677714
6426,0.3430918488237593,7696418
5812,0.047265934033526316,78666725
10711,0.03801743479238616,7705454
5880,0.05968238765166865,7711946
6414,0.07756189753611882,7690331
7538,0.11377473092741436,7701494
6188,0.1273543569776747,7692492
10758,0.1540326550602913,7712242
9112,0.18806429041756523,78661462
11429,0.12398296925756666,7660519
10711,0.14894490606255,7657237
8635,0.19152747011846966,78664749
11437,0.06860706789626016,7660111
11261,0.31277451912562054,7659951
5075,0.09062211215496063,7680848
4879,0.06824681411186855,7691935
8702,0.23490791519482931,7704500
7899,0.1318232301208708,7675058
6632,0.22276471555233002,7699420
5149,0.12308280169963837,7660424
10728,0.34099117914835614,7690009
11418,0.09631219133734703,7710937
7811,0.4811923835012648,78663311
6188,0.08027604470650355,78668423
8527,0.03686023689806461,7704695
7238,0.14279082003566954,7706953
6552,0.2262123061550988,7692984
6493,0.019655804253286786,7681120
7855,0.3589387834072113,78662939
6188,0.09011909696790907,78666459
5151,0.1735763425628344,7661095
6283,0.11503996700048447,7706632
11341,0.244824704196718,7696391
8661,0.22038644717799294,78659893
8527,0.0333137841274341,7662376
9339,0.12258684966299269,78666203
9246,0.3603212104903327,7661760
7279,0.05146024396850003,78655118
6561,0.3864724238713582,7691646
5229,0.256775912311342,7697750
5816,0.19878626697593266,7685068
10643,0.07630550240476926,7660476
11286,0.07088554836809635,7655818
10687,0.08817789786391789,78664664
5783,0.03217724338173866,78662222
8676,0.15425201008717218,7656963
9197,0.039782043339477643,7656533
7288,0.011443356802273128,78663967
6632,0.17154929952489006,7663784
7935,0.014449252384818263,7682820
7670,0.08690526460607846,7684859
10369,0.02553604719125562,7659585
10704,0.2659207599030601,78658558
7563,0.09729436412453651,78662751
6632,0.13322262300385368,78666795
8663,0.17170213742388618,7661817
5847,0.15486337492863336,7673736
5879,0.09093846049573687,7663020
7269,0.2131340586476856,7704423
9975,0.12049658348162968,7710975
8527,0.256602437959777,7667473
9112,0.09371357742283079,7654510
7973,0.07146858092811373,7687704
11444,0.06830731013582812,7668194
10664,0.09070741923318969,7672904
8481,0.17325914320018557,78660865
11370,0.12622389445702234,78668210
9197,0.09629004117515352,7689520
7229,0.18981198718150458,78661575
9893,0.28354720109038883,7691432
8527,0.20506756835513645,7670808
9290,0.29162438213825226,7707153
5074,0.07707399605876869,7702132
9911,0.18866883549425337,78659973
9992,0.3439575731754303,78661976
6485,0.07170161232352257,7665840
5122,0.15106775777207482,7660495
8366,0.013989331976821026,7659847
11424,0.1291663841240936,7664265
7908,0.20223176893260744,7656418
8594,0.013038242235779762,78662825
6609,0.03556410368118021,7684560
7968,0.24896148840586343,7686961
10369,0.03190848148531384,78656494
7970,0.04979450214240286,7656777
8595,0.04927230719476938,78655405
11399,0.06193393593033155,7674302
9284,0.04314445683525668,7664278
9104,0.27494440807236564,7679008
